#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    48.9100	     0.0000	     0.0000	   290.4883	   290.4883	   392.5300	   388.6500	   387.1000	   354.1700	     3.9500	     4.2200	   738.4200	 regenerative cooling, opposite flow; film coolant injection	 
    4.1800	    48.9100	     0.0000	     0.0000	   390.5638	   390.5638	   405.0700	   400.4000	   398.3100	   353.9800	     3.9510	     4.2200	   738.6100	 regenerative cooling, opposite flow	 
    8.3600	    48.9100	     0.0000	     0.0000	   467.9081	   467.9081	   414.6700	   409.4300	   406.9300	   353.7500	     3.9510	     4.2200	   738.8500	 regenerative cooling, opposite flow	 
   12.5400	    48.9100	     0.0000	     0.0000	   521.7239	   521.7239	   421.3300	   415.6600	   412.8700	   353.4800	     3.9520	     4.2200	   739.1300	 regenerative cooling, opposite flow	 
   16.7200	    48.9100	     0.0000	     0.0000	   554.8446	   554.8446	   425.3200	   419.4200	   416.4600	   353.1900	     3.9520	     4.2200	   739.4300	 regenerative cooling, opposite flow	 
   20.9000	    48.9100	     0.0000	     0.0000	   565.5827	   565.5827	   426.5100	   420.5200	   417.5100	   352.8900	     3.9520	     4.2200	   739.7400	 regenerative cooling, opposite flow	 
   25.0800	    48.9100	     0.0000	     0.0000	   565.0763	   565.0763	   426.3400	   420.3100	   417.3000	   352.5800	     3.9530	     4.2200	   740.0300	 regenerative cooling, opposite flow	 
   29.2600	    48.9100	     0.0000	     0.0000	   564.9854	   564.9854	   426.2100	   420.1500	   417.1400	   352.2800	     3.9530	     4.2100	   740.3200	 regenerative cooling, opposite flow	 
   33.4400	    48.9100	     0.5342	  1199.4481	   348.2042	  1547.6523	   551.3700	   538.4300	   530.1800	   351.7000	     3.9540	     4.2100	   740.8700	 regenerative cooling, opposite flow	 
   37.6200	    48.9100	     0.5536	  1240.0870	   344.3435	  1584.4305	   556.4500	   543.2200	   534.7700	   350.8500	     3.9540	     4.2100	   741.6900	 regenerative cooling, opposite flow	 
   41.8000	    48.9100	     0.5937	  1324.1795	   331.3609	  1655.5404	   566.1100	   552.2700	   543.4400	   349.9600	     3.9550	     4.2000	   742.5300	 regenerative cooling, opposite flow	 
   45.9800	    48.9100	     0.6202	  1379.8855	   314.9497	  1694.8351	   571.7200	   557.5300	   548.4900	   349.0400	     3.9550	     4.2000	   743.4100	 regenerative cooling, opposite flow	 
   50.1600	    48.9100	     0.6316	  1404.0928	   301.2366	  1705.3294	   573.5400	   559.2800	   550.1900	   348.1000	     3.9550	     4.1900	   744.3100	 regenerative cooling, opposite flow	 
   54.3400	    48.9100	     0.6368	  1415.1373	   292.3498	  1707.4871	   574.3100	   560.0100	   550.9000	   347.1500	     3.9560	     4.1900	   745.2100	 regenerative cooling, opposite flow	 
   58.5200	    48.9100	     0.6393	  1420.5180	   287.0014	  1707.5194	   574.8000	   560.4700	   551.3600	   346.2000	     3.9560	     4.1800	   746.1100	 regenerative cooling, opposite flow	 
   62.7000	    48.9100	     0.6404	  1422.6828	   285.1628	  1707.8456	   575.2400	   560.9500	   551.8400	   345.2500	     3.9570	     4.1800	   747.0200	 regenerative cooling, opposite flow	 
   66.8800	    48.9100	     0.6407	  1423.0741	   284.2213	  1707.2954	   575.6000	   561.3100	   552.2100	   344.2900	     3.9570	     4.1700	   747.9400	 regenerative cooling, opposite flow	 
   69.9700	    48.8600	     0.6420	  1425.7434	   283.3559	  1709.0993	   575.8800	   561.5800	   552.4700	   343.5800	     3.9570	     4.1700	   748.6200	 regenerative cooling, opposite flow	 
   73.0600	    48.7000	     0.6453	  1432.7927	   283.7394	  1716.5321	   576.3800	   562.0000	   552.8400	   342.8700	     3.9580	     4.1800	   749.3000	 regenerative cooling, opposite flow	 
   76.1400	    48.4500	     0.6512	  1445.4890	   283.4768	  1728.9658	   576.9100	   562.4700	   553.2500	   342.1500	     3.9580	     4.2000	   749.9800	 regenerative cooling, opposite flow	 
   79.2300	    48.0900	     0.6595	  1463.5267	   283.0838	  1746.6105	   577.6200	   562.9900	   553.6800	   341.4200	     3.9580	     4.2200	   750.6700	 regenerative cooling, opposite flow	 
   82.3200	    47.6200	     0.6707	  1487.7003	   282.9249	  1770.6252	   578.5000	   563.6700	   554.2300	   340.6900	     3.9590	     4.2600	   751.3700	 regenerative cooling, opposite flow	 
   85.4100	    47.0500	     0.6850	  1518.8533	   281.2193	  1800.0726	   579.4000	   564.3400	   554.7400	   339.9500	     3.9590	     4.3100	   752.0800	 regenerative cooling, opposite flow	 
   88.4900	    46.3600	     0.7023	  1556.0849	   284.1228	  1840.2077	   580.9500	   565.5600	   555.7500	   339.2000	     3.9590	     4.3600	   752.8000	 regenerative cooling, opposite flow	 
   91.5800	    45.5700	     0.7238	  1602.7435	   282.3023	  1885.0458	   582.2700	   566.5000	   556.4500	   338.4300	     3.9600	     4.4300	   753.5300	 regenerative cooling, opposite flow	 
   94.6700	    44.6600	     0.7495	  1658.1718	   282.8244	  1940.9962	   584.0800	   567.8200	   557.4700	   337.6400	     3.9600	     4.5200	   754.2700	 regenerative cooling, opposite flow	 
   97.7600	    43.6400	     0.7805	  1725.3591	   281.3148	  2006.6739	   585.9500	   569.1800	   558.4800	   336.8400	     3.9610	     4.6100	   755.0400	 regenerative cooling, opposite flow	 
  100.8400	    42.4900	     0.8173	  1804.9241	   280.4644	  2085.3885	   588.2000	   570.7700	   559.6500	   336.0200	     3.9610	     4.7300	   755.8300	 regenerative cooling, opposite flow	 
  103.9300	    41.2200	     0.8617	  1900.5207	   280.3283	  2180.8490	   590.9100	   572.7200	   561.0900	   335.1700	     3.9610	     4.8600	   756.6400	 regenerative cooling, opposite flow	 
  107.0200	    39.8100	     0.9149	  2015.0523	   279.1127	  2294.1650	   593.9700	   574.8200	   562.5900	   334.2900	     3.9620	     5.0200	   757.4800	 regenerative cooling, opposite flow	 
  110.1000	    38.2600	     0.9794	  2153.4364	   278.7125	  2432.1489	   597.6500	   577.3300	   564.3600	   333.3700	     3.9630	     5.2100	   758.3500	 regenerative cooling, opposite flow	 
  113.1900	    36.5700	     1.0585	  2322.4399	   275.8834	  2598.3232	   602.0200	   580.3600	   566.5000	   332.4200	     3.9630	     5.4400	   759.2200	 regenerative cooling, opposite flow	 
  116.2800	    34.7800	     1.1516	  2520.4703	   276.2645	  2796.7348	   607.4200	   584.0700	   569.1600	   331.4300	     3.9640	     5.7000	   760.1000	 regenerative cooling, opposite flow	 
  119.3700	    33.0000	     1.2583	  2746.4217	   274.6654	  3021.0871	   613.0900	   587.9100	   571.7900	   330.4100	     3.9650	     5.9900	   761.0000	 regenerative cooling, opposite flow	 
  122.4500	    31.2200	     1.3807	  3004.7986	   271.9059	  3276.7045	   619.2300	   591.9000	   574.4300	   329.3500	     3.9650	     6.3000	   761.9300	 regenerative cooling, opposite flow	 
  125.5400	    29.4400	     1.5221	  3301.8510	   267.9247	  3569.7757	   625.8600	   596.0800	   577.0400	   328.2700	     3.9660	     6.6600	   762.8900	 regenerative cooling, opposite flow	 
  128.6300	    27.6500	     1.6868	  3645.8663	   262.2092	  3908.0755	   633.0200	   600.4600	   579.6100	   327.1500	     3.9670	     7.0600	   763.8800	 regenerative cooling, opposite flow	 
  131.7200	    25.8700	     1.8788	  4044.5886	   257.3357	  4301.9243	   640.9100	   605.0700	   582.1200	   325.9900	     3.9690	     7.5100	   764.9100	 regenerative cooling, opposite flow	 
