#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    50.0600	     0.0000	     0.0000	   157.6567	   157.6567	   453.9500	   450.4100	   446.2600	   429.4300	     3.9400	     6.4600	   436.7800	 regenerative cooling, opposite flow; film coolant injection	 
    4.5200	    50.0600	     0.0000	     0.0000	   211.5624	   211.5624	   461.6700	   457.4200	   451.8600	   429.2700	     3.9410	     6.4300	   439.1600	 regenerative cooling, opposite flow	 
    9.0400	    50.0600	     0.0000	     0.0000	   251.8629	   251.8629	   467.3600	   462.5900	   455.9600	   429.0600	     3.9420	     6.3800	   442.1200	 regenerative cooling, opposite flow	 
   13.5500	    50.0600	     0.3730	   937.1318	   115.4291	  1052.5609	   583.6300	   568.6100	   540.9100	   428.5000	     3.9420	     6.2700	   450.2900	 regenerative cooling, opposite flow	 
   18.0700	    50.0600	     0.4549	  1130.8402	   111.5782	  1242.4184	   610.6900	   592.9000	   560.2100	   427.5000	     3.9430	     6.0800	   464.5000	 regenerative cooling, opposite flow	 
   22.5900	    50.0600	     0.5747	  1406.8960	    98.8597	  1505.7557	   648.2600	   626.7400	   587.1100	   426.3200	     3.9440	     5.8600	   481.3900	 regenerative cooling, opposite flow	 
   27.1100	    50.0600	     0.8825	  2076.5676	    85.4737	  2162.0413	   743.2500	   712.3400	   655.4400	   424.7500	     3.9440	     5.6000	   503.6900	 regenerative cooling, opposite flow	 
   31.6300	    50.0600	     1.0221	  2365.0854	    79.4126	  2444.4980	   782.4500	   747.5100	   683.1900	   422.8100	     3.9450	     5.3100	   531.3000	 regenerative cooling, opposite flow	 
   36.1400	    50.0600	     1.0773	  2478.2947	    77.0598	  2555.3545	   795.9700	   759.4500	   692.2100	   420.7200	     3.9460	     5.0300	   560.8300	 regenerative cooling, opposite flow	 
   40.6600	    50.0600	     1.0953	  2516.7922	    76.4755	  2593.2677	   798.5100	   761.4600	   693.2200	   418.6100	     3.9460	     4.7800	   590.8200	 regenerative cooling, opposite flow	 
   45.1800	    50.0600	     1.1003	  2529.7282	    76.3205	  2606.0487	   797.2600	   760.0100	   691.4300	   416.5000	     3.9470	     4.5500	   620.6800	 regenerative cooling, opposite flow	 
   49.7000	    50.0600	     1.1022	  2536.6461	    76.1853	  2612.8314	   795.0400	   757.6800	   688.9200	   414.4100	     3.9480	     4.3400	   650.1700	 regenerative cooling, opposite flow	 
   54.2200	    50.0600	     1.1031	  2540.0967	    76.1815	  2616.2782	   793.6700	   756.2300	   687.3800	   412.3400	     3.9480	     4.2100	   670.8800	 regenerative cooling, opposite flow	 
   58.7300	    50.0600	     1.1027	  2538.3773	    76.5342	  2614.9115	   794.4200	   757.0300	   688.2200	   410.2700	     3.9490	     4.1900	   673.5500	 regenerative cooling, opposite flow	 
   63.2500	    50.0600	     1.1023	  2536.6946	    76.1447	  2612.8393	   795.0800	   757.7000	   688.9400	   408.1800	     3.9490	     4.1700	   676.2400	 regenerative cooling, opposite flow	 
   67.7700	    50.0600	     1.1019	  2535.0296	    76.0632	  2611.0928	   795.7500	   758.3700	   689.6600	   406.0900	     3.9500	     4.1600	   678.9300	 regenerative cooling, opposite flow	 
   72.2900	    50.0600	     1.1016	  2533.5865	    76.1950	  2609.7815	   796.3800	   759.0500	   690.3700	   403.9900	     3.9500	     4.1400	   681.6500	 regenerative cooling, opposite flow	 
   75.4400	    50.0100	     1.1033	  2536.7711	    76.0065	  2612.7776	   797.0800	   759.7100	   690.9600	   402.5200	     3.9510	     4.1300	   683.5500	 regenerative cooling, opposite flow	 
   78.5900	    49.8400	     1.1089	  2548.2626	    76.3438	  2624.6063	   798.4300	   760.9100	   691.8400	   401.0400	     3.9510	     4.1400	   685.4600	 regenerative cooling, opposite flow	 
   81.7500	    49.5800	     1.1187	  2568.4955	    76.2442	  2644.7397	   800.3500	   762.5500	   692.9500	   399.5500	     3.9510	     4.1500	   687.3800	 regenerative cooling, opposite flow	 
   84.9000	    49.2000	     1.1326	  2597.5651	    76.5469	  2674.1120	   802.9700	   764.7300	   694.3600	   398.0400	     3.9520	     4.1700	   689.3300	 regenerative cooling, opposite flow	 
   88.0500	    48.7100	     1.1512	  2636.5277	    75.7565	  2712.2842	   806.1400	   767.3400	   695.9700	   396.5100	     3.9520	     4.1900	   691.2900	 regenerative cooling, opposite flow	 
   91.2100	    48.1100	     1.1748	  2685.7898	    75.3891	  2761.1789	   810.0900	   770.5800	   697.9200	   394.9600	     3.9530	     4.2300	   693.2900	 regenerative cooling, opposite flow	 
   94.3600	    47.3900	     1.2039	  2746.5817	    75.3947	  2821.9764	   814.8500	   774.5100	   700.2500	   393.3900	     3.9530	     4.2800	   695.3300	 regenerative cooling, opposite flow	 
   97.5100	    46.5600	     1.2389	  2818.9339	    75.4419	  2894.3758	   820.9100	   779.5400	   703.3700	   391.7800	     3.9530	     4.3500	   697.2300	 regenerative cooling, opposite flow	 
  100.6700	    45.6000	     1.2810	  2905.5927	    74.7877	  2980.3804	   828.0100	   785.3900	   706.9600	   390.1300	     3.9540	     4.4300	   699.1200	 regenerative cooling, opposite flow	 
  103.8200	    44.5300	     1.3316	  3009.3690	    74.7403	  3084.1093	   836.1100	   792.0100	   710.8500	   388.4500	     3.9540	     4.5200	   701.0600	 regenerative cooling, opposite flow	 
  106.9700	    43.3200	     1.3918	  3131.6183	    74.8936	  3206.5118	   845.9200	   800.1000	   715.7200	   386.7100	     3.9550	     4.6300	   703.0500	 regenerative cooling, opposite flow	 
  110.1300	    41.9800	     1.4638	  3277.1903	    74.2947	  3351.4850	   857.1600	   809.2600	   721.0700	   384.9200	     3.9560	     4.7600	   705.1200	 regenerative cooling, opposite flow	 
  113.2800	    40.4900	     1.5507	  3451.1193	    73.8774	  3524.9967	   870.1900	   819.8300	   727.0600	   383.0500	     3.9560	     4.9200	   707.2700	 regenerative cooling, opposite flow	 
  116.4300	    38.8600	     1.6558	  3659.7546	    73.5298	  3733.2844	   885.3500	   832.0000	   733.7500	   381.1000	     3.9570	     5.1000	   709.5100	 regenerative cooling, opposite flow	 
  119.5800	    37.0800	     1.7841	  3911.3408	    72.8038	  3984.1446	   902.9700	   846.0600	   741.2100	   379.0600	     3.9580	     5.3200	   711.8500	 regenerative cooling, opposite flow	 
  122.7400	    35.2600	     1.9317	  4196.7580	    72.1634	  4268.9213	   922.4100	   861.4300	   749.0900	   376.9600	     3.9580	     5.5700	   714.2700	 regenerative cooling, opposite flow	 
  125.8900	    33.4400	     2.0992	  4515.4056	    71.4429	  4586.8486	   943.4800	   877.9400	   757.2400	   374.7900	     3.9590	     5.8500	   716.7600	 regenerative cooling, opposite flow	 
  129.0400	    31.6200	     2.2901	  4871.8247	    70.7120	  4942.5367	   966.5700	   895.9700	   765.9000	   372.5500	     3.9600	     6.1600	   719.2800	 regenerative cooling, opposite flow	 
  132.2000	    29.8000	     2.5082	  5268.6082	    70.2264	  5338.8346	   992.4700	   916.2000	   775.7100	   370.2600	     3.9610	     6.5000	   721.6700	 regenerative cooling, opposite flow	 
  135.3500	    27.9800	     2.7603	  5717.2466	    68.7896	  5786.0363	  1020.5800	   937.9300	   785.6700	   367.9000	     3.9630	     6.8900	   724.1300	 regenerative cooling, opposite flow	 
  138.5000	    26.1600	     3.0537	  6225.7073	    66.7910	  6292.4983	  1051.1600	   961.2600	   795.6700	   365.4700	     3.9640	     7.3300	   726.6600	 regenerative cooling, opposite flow	 
