#
# Engine name: 6kn Inconel Alloyed
# Tue 15. Jul 01:58:30 2025
#
# Lc= 156.74508 mm	 Rc=  50.16047 mm
# R1=  31.59813 mm	 R2=  92.78516 mm
# bc=  30.00000   	 Rt=  21.06542 mm
# Le=  76.13262 mm	 Re=  45.13115 mm
# Rn=   8.04699 mm
# c1=  24.00000   	 c2=  12.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   50.16047
    2.32878	   50.16047
    4.65755	   50.16047
    6.98633	   50.16047
    9.31511	   50.16047
   11.64389	   50.16047
   13.97266	   50.16047
   16.30144	   50.16047
   18.63022	   50.16047
   20.95899	   50.16047
   23.28777	   50.16047
   25.61655	   50.16047
   27.94532	   50.16047
   30.27410	   50.16047
   32.60288	   50.16047
   34.93166	   50.16047
   37.26043	   50.16047
   39.58921	   50.16047
   41.91799	   50.16047
   44.24676	   50.16047
   46.57554	   50.16047
   48.90432	   50.16047
   51.23309	   50.16047
   53.56187	   50.16047
   55.89065	   50.16047
   58.21943	   50.16047
   60.54820	   50.16047
   62.87698	   50.16047
   65.20576	   50.16047
   67.53453	   50.16047
   69.86331	   50.16047
   72.19209	   50.16047
   74.52086	   50.14837
   76.84964	   50.08151
   79.17842	   49.95604
   81.50720	   49.77172
   83.83597	   49.52821
   86.16475	   49.22502
   88.49353	   48.86157
   90.82230	   48.43713
   93.15108	   47.95085
   95.47986	   47.40173
   97.80863	   46.78860
  100.13741	   46.11015
  102.46619	   45.36485
  104.79497	   44.55100
  107.12374	   43.66666
  109.45252	   42.70962
  111.78130	   41.67743
  114.11007	   40.56728
  116.43885	   39.37600
  118.76763	   38.10000
  121.09640	   36.75894
  123.42518	   35.41442
  125.75396	   34.06990
  128.08274	   32.72538
  130.41151	   31.38086
  132.74029	   30.03634
  135.06907	   28.69182
  137.39784	   27.34730
  139.72662	   26.00278
  142.05540	   24.68758
  144.38417	   23.58349
  146.71295	   22.70027
  149.04173	   22.01881
  151.37051	   21.52586
  153.69928	   21.21256
  156.02806	   21.07355
  156.74508	   21.06542
  159.07386	   21.40976
  161.40264	   22.37377
  163.73141	   23.38736
  166.06019	   24.38003
  168.38897	   25.35214
  170.71774	   26.30400
  173.04652	   27.23581
  175.37530	   28.14796
  177.70407	   29.04075
  180.03285	   29.91433
  182.36163	   30.76913
  184.69041	   31.60527
  187.01918	   32.42316
  189.34796	   33.22289
  191.67674	   34.00487
  194.00551	   34.76919
  196.33429	   35.51619
  198.66307	   36.24612
  200.99184	   36.95907
  203.32062	   37.65538
  205.64940	   38.33526
  207.97818	   38.99890
  210.30695	   39.64645
  212.63573	   40.27818
  214.96451	   40.89430
  217.29328	   41.49497
  219.62206	   42.08040
  221.95084	   42.65077
  224.27961	   43.20625
  226.60839	   43.74703
  228.93717	   44.27327
  231.26595	   44.78516
  232.87770	   45.13115
